Starting ...
cuda
Properties to use:  ['affinity', 'sas']
Building Vocab
{'batch_size': 128, 'd_model': 512, 'n_heads': 8, 'n_layers': 6, 'hidden_units': 512, 'lr': 1e-05, 'epochs': 10, 'properties': ['affinity', 'sas'], 'run_name': 'LCK_DOCKSTRING_FAST_ACTUAL_affinity_sas'}
length of preference data : 41795
Sample preference_data[0]: ['O1C(C(=O)N2CCN(CC2)C3=CC=C(N(=O)=O)C=C3)=C(C=4C1=CC=CC4)C', array([0.47959185, 0.53255087, 0.54797947, 0.15855041, 0.16055913]), [np.str_('O1C(=NC2=C(C1=O)C=CC=C2)C3=C(C(=O)NCCC4=CC=CC=C4)C=CC(OC)=C3'), np.float64(0.9873459430403937), array([0.52040816, 0.54211667, 0.55725834, 0.15815913, 0.16377715])], [np.str_('O1C(=NC2=C(C1=O)C=CC=C2)C3=CC(OC(=O)C=4C=CC=CC4)=C(OC)C=C3'), np.float64(0.9574398041990725), array([0.43877551, 0.55263869, 0.41284505, 0.14420153, 0.15814562])]]
LCK_DOCKSTRING_FAST_ACTUAL_affinity_sas
len(target_smiles): 41800
len(data): 41800
LCK_DOCKSTRING_FAST_ACTUAL_affinity_sas
dataset built
cuda
True
2.7.1+cu118
No of GPUs available 4
No of GPUs available 4
{'batch_size': 128, 'd_model': 512, 'n_heads': 8, 'n_layers': 6, 'hidden_units': 512, 'lr': 1e-05, 'epochs': 10, 'properties': ['affinity', 'sas'], 'ipo': False, 'run_name': 'DPO_Finetuning_BETA_0.11_epochs_10_LCK_DOCKSTRING_FAST_ACTUAL_affinity_sas', 'beta': 0.11}
Temperature:  0.5
Sampling: iteration: 0/51
{'Validity': 0.9970703125, 'Novelty': 1.0, 'Uniqueness': 0.9941234084231146}
Training Epoch: 0 | iteration: 0/262 | Loss: 0.9786747097969055
Training Epoch: 0 | iteration: 1/262 | Loss: 0.9563084244728088
Training Epoch: 0 | iteration: 2/262 | Loss: 0.9274454116821289
Training Epoch: 0 | iteration: 3/262 | Loss: 0.9385970830917358
Training Epoch: 0 | iteration: 4/262 | Loss: 0.9304494857788086
Training Epoch: 0 | iteration: 5/262 | Loss: 0.9079973697662354
Training Epoch: 0 | iteration: 6/262 | Loss: 0.899752140045166
Training Epoch: 0 | iteration: 7/262 | Loss: 1.0285124778747559
Training Epoch: 0 | iteration: 8/262 | Loss: 0.9723005890846252
Training Epoch: 0 | iteration: 9/262 | Loss: 0.8565446138381958
Training Epoch: 0 | iteration: 10/262 | Loss: 0.9646827578544617
Training Epoch: 0 | iteration: 11/262 | Loss: 0.9552127122879028
Training Epoch: 0 | iteration: 12/262 | Loss: 0.9248489141464233
Training Epoch: 0 | iteration: 13/262 | Loss: 0.8823729753494263
Training Epoch: 0 | iteration: 14/262 | Loss: 0.9464054107666016
Training Epoch: 0 | iteration: 15/262 | Loss: 0.9159576892852783
Training Epoch: 0 | iteration: 16/262 | Loss: 0.9039188623428345
Training Epoch: 0 | iteration: 17/262 | Loss: 0.8406450152397156
Training Epoch: 0 | iteration: 18/262 | Loss: 0.8919342160224915
Training Epoch: 0 | iteration: 19/262 | Loss: 0.9213703870773315
Training Epoch: 0 | iteration: 20/262 | Loss: 0.8889422416687012
Training Epoch: 0 | iteration: 68/262 | Loss: 0.7891057133674622
Training Epoch: 0 | iteration: 69/262 | Loss: 0.9131109118461609
Training Epoch: 0 | iteration: 70/262 | Loss: 0.8754564523696899
Training Epoch: 0 | iteration: 71/262 | Loss: 0.8658868074417114
Training Epoch: 0 | iteration: 72/262 | Loss: 0.9296804666519165
Training Epoch: 0 | iteration: 73/262 | Loss: 0.9452694058418274
Training Epoch: 0 | iteration: 74/262 | Loss: 0.9391437768936157
Training Epoch: 0 | iteration: 75/262 | Loss: 0.7685834169387817
Training Epoch: 0 | iteration: 76/262 | Loss: 0.8140919804573059
Training Epoch: 0 | iteration: 77/262 | Loss: 0.8003380298614502
Training Epoch: 0 | iteration: 78/262 | Loss: 0.8401923179626465
Training Epoch: 0 | iteration: 79/262 | Loss: 0.8205980658531189
Training Epoch: 0 | iteration: 80/262 | Loss: 0.8032190203666687
Training Epoch: 0 | iteration: 81/262 | Loss: 0.8357948064804077
Training Epoch: 0 | iteration: 82/262 | Loss: 0.8152589797973633
Training Epoch: 0 | iteration: 83/262 | Loss: 0.9104479551315308
Training Epoch: 0 | iteration: 84/262 | Loss: 0.8946917057037354
Training Epoch: 0 | iteration: 85/262 | Loss: 0.8162367343902588
Training Epoch: 0 | iteration: 86/262 | Loss: 0.8032135963439941
Training Epoch: 0 | iteration: 87/262 | Loss: 0.8645862936973572
Training Epoch: 0 | iteration: 88/262 | Loss: 0.827555775642395
Training Epoch: 0 | iteration: 89/262 | Loss: 0.8300584554672241
Training Epoch: 0 | iteration: 90/262 | Loss: 0.741897463798523
Training Epoch: 0 | iteration: 91/262 | Loss: 0.8693796992301941
Training Epoch: 0 | iteration: 92/262 | Loss: 0.9027742147445679
Training Epoch: 0 | iteration: 93/262 | Loss: 0.8698439002037048
Training Epoch: 0 | iteration: 94/262 | Loss: 0.8631230592727661
Training Epoch: 0 | iteration: 95/262 | Loss: 0.7866865396499634
Training Epoch: 0 | iteration: 96/262 | Loss: 0.868148922920227
Training Epoch: 0 | iteration: 97/262 | Loss: 0.8106444478034973
Training Epoch: 0 | iteration: 98/262 | Loss: 0.8632672429084778
Training Epoch: 0 | iteration: 99/262 | Loss: 0.8322803378105164
Training Epoch: 0 | iteration: 100/262 | Loss: 0.7770305871963501
Training Epoch: 0 | iteration: 101/262 | Loss: 0.7508370876312256
Training Epoch: 0 | iteration: 102/262 | Loss: 0.8900675773620605
Training Epoch: 0 | iteration: 103/262 | Loss: 0.7971026301383972
Training Epoch: 0 | iteration: 104/262 | Loss: 0.7817013263702393
Training Epoch: 0 | iteration: 105/262 | Loss: 0.8679898977279663
Training Epoch: 0 | iteration: 106/262 | Loss: 0.7935663461685181
Training Epoch: 0 | iteration: 107/262 | Loss: 0.8343862295150757
Training Epoch: 0 | iteration: 108/262 | Loss: 0.9209573268890381
Training Epoch: 0 | iteration: 109/262 | Loss: 0.810749351978302
Training Epoch: 0 | iteration: 110/262 | Loss: 0.847758412361145
Training Epoch: 0 | iteration: 111/262 | Loss: 0.8494200706481934
Training Epoch: 0 | iteration: 112/262 | Loss: 0.8784298896789551
Training Epoch: 0 | iteration: 113/262 | Loss: 0.8565077781677246
Training Epoch: 0 | iteration: 114/262 | Loss: 0.8172884583473206
Training Epoch: 0 | iteration: 115/262 | Loss: 0.8288580775260925
Training Epoch: 0 | iteration: 116/262 | Loss: 0.7887954711914062
Training Epoch: 0 | iteration: 117/262 | Loss: 0.8918513655662537
Training Epoch: 0 | iteration: 118/262 | Loss: 0.788603663444519
Training Epoch: 0 | iteration: 119/262 | Loss: 0.8134914040565491
Training Epoch: 0 | iteration: 120/262 | Loss: 0.776415228843689
Training Epoch: 0 | iteration: 121/262 | Loss: 0.7905839681625366
Training Epoch: 0 | iteration: 122/262 | Loss: 0.8418699502944946
Training Epoch: 0 | iteration: 123/262 | Loss: 0.7954250574111938
Training Epoch: 0 | iteration: 124/262 | Loss: 0.89589524269104
Training Epoch: 0 | iteration: 125/262 | Loss: 0.8285157680511475
Training Epoch: 0 | iteration: 126/262 | Loss: 0.7301287055015564
Training Epoch: 0 | iteration: 127/262 | Loss: 0.8497077226638794
Training Epoch: 0 | iteration: 128/262 | Loss: 0.7584083080291748
Training Epoch: 0 | iteration: 129/262 | Loss: 0.8809982538223267
Training Epoch: 0 | iteration: 130/262 | Loss: 0.8073270320892334
Training Epoch: 0 | iteration: 131/262 | Loss: 0.8345481753349304
Training Epoch: 0 | iteration: 132/262 | Loss: 0.8205634355545044
Training Epoch: 0 | iteration: 133/262 | Loss: 0.7709094882011414
Training Epoch: 0 | iteration: 134/262 | Loss: 0.8366144895553589
Training Epoch: 0 | iteration: 135/262 | Loss: 0.693089485168457
Training Epoch: 0 | iteration: 136/262 | Loss: 0.7468167543411255
Training Epoch: 0 | iteration: 137/262 | Loss: 0.860893189907074
Training Epoch: 0 | iteration: 138/262 | Loss: 0.8322321176528931
Training Epoch: 0 | iteration: 139/262 | Loss: 0.844271183013916
Training Epoch: 0 | iteration: 140/262 | Loss: 0.8367494940757751
Training Epoch: 0 | iteration: 141/262 | Loss: 0.7503952383995056
Training Epoch: 0 | iteration: 142/262 | Loss: 0.8333603143692017
Training Epoch: 0 | iteration: 143/262 | Loss: 0.7604364156723022
Training Epoch: 0 | iteration: 144/262 | Loss: 0.8116492033004761
Training Epoch: 0 | iteration: 145/262 | Loss: 0.8354322910308838
Training Epoch: 0 | iteration: 146/262 | Loss: 0.8526032567024231
Training Epoch: 0 | iteration: 147/262 | Loss: 0.7723406553268433
Training Epoch: 0 | iteration: 148/262 | Loss: 0.8650992512702942
Training Epoch: 0 | iteration: 149/262 | Loss: 0.7193045020103455
Training Epoch: 0 | iteration: 150/262 | Loss: 0.8170372247695923
Training Epoch: 0 | iteration: 151/262 | Loss: 0.8488085865974426
Training Epoch: 0 | iteration: 152/262 | Loss: 0.8046239614486694
Training Epoch: 0 | iteration: 153/262 | Loss: 0.8103252649307251
Training Epoch: 0 | iteration: 154/262 | Loss: 0.7901185750961304
Training Epoch: 0 | iteration: 155/262 | Loss: 0.8434709310531616
Training Epoch: 0 | iteration: 156/262 | Loss: 0.8779557347297668
Training Epoch: 0 | iteration: 157/262 | Loss: 0.8397928476333618
Training Epoch: 0 | iteration: 158/262 | Loss: 0.8495359420776367
Training Epoch: 0 | iteration: 159/262 | Loss: 0.9183377623558044
Training Epoch: 0 | iteration: 160/262 | Loss: 0.8011980056762695
Training Epoch: 0 | iteration: 161/262 | Loss: 0.7859660983085632
Training Epoch: 0 | iteration: 162/262 | Loss: 0.8152689933776855
Training Epoch: 0 | iteration: 163/262 | Loss: 0.7743017673492432
Training Epoch: 0 | iteration: 164/262 | Loss: 0.7616629004478455
Training Epoch: 0 | iteration: 165/262 | Loss: 0.8155351877212524
Training Epoch: 0 | iteration: 166/262 | Loss: 0.9362296462059021
Training Epoch: 0 | iteration: 167/262 | Loss: 0.7652033567428589
Training Epoch: 0 | iteration: 168/262 | Loss: 0.8186990022659302
Training Epoch: 0 | iteration: 169/262 | Loss: 0.7827777862548828
Training Epoch: 0 | iteration: 170/262 | Loss: 0.8239231109619141
Training Epoch: 0 | iteration: 171/262 | Loss: 0.8651597499847412
Training Epoch: 0 | iteration: 172/262 | Loss: 0.8487181067466736
Training Epoch: 0 | iteration: 173/262 | Loss: 0.8876982927322388
Training Epoch: 0 | iteration: 174/262 | Loss: 0.8539480566978455
Training Epoch: 0 | iteration: 175/262 | Loss: 0.7063567638397217
Training Epoch: 0 | iteration: 176/262 | Loss: 0.7375166416168213
Training Epoch: 0 | iteration: 177/262 | Loss: 0.796233057975769
Training Epoch: 0 | iteration: 178/262 | Loss: 0.9546415209770203
Training Epoch: 0 | iteration: 179/262 | Loss: 0.7686251997947693
Training Epoch: 0 | iteration: 180/262 | Loss: 0.8738108277320862
Training Epoch: 0 | iteration: 181/262 | Loss: 0.801945686340332
Training Epoch: 0 | iteration: 182/262 | Loss: 0.8514086604118347
Training Epoch: 0 | iteration: 183/262 | Loss: 0.8201631307601929
Training Epoch: 0 | iteration: 184/262 | Loss: 0.7835550308227539
Training Epoch: 0 | iteration: 185/262 | Loss: 0.8586546778678894
Training Epoch: 0 | iteration: 186/262 | Loss: 0.7994775176048279
Training Epoch: 0 | iteration: 187/262 | Loss: 0.8190351724624634
Training Epoch: 0 | iteration: 188/262 | Loss: 0.7893255949020386
Training Epoch: 0 | iteration: 189/262 | Loss: 0.8807227611541748
Training Epoch: 0 | iteration: 190/262 | Loss: 0.8050771951675415
Training Epoch: 0 | iteration: 191/262 | Loss: 0.8350847959518433
Training Epoch: 0 | iteration: 192/262 | Loss: 0.7635393142700195
Training Epoch: 0 | iteration: 193/262 | Loss: 0.8004076480865479
Training Epoch: 0 | iteration: 194/262 | Loss: 0.8745949268341064
Training Epoch: 0 | iteration: 195/262 | Loss: 0.7313888072967529
Training Epoch: 0 | iteration: 196/262 | Loss: 0.8275108337402344
Training Epoch: 0 | iteration: 197/262 | Loss: 0.7992383241653442
Training Epoch: 0 | iteration: 198/262 | Loss: 0.7985932230949402
Training Epoch: 0 | iteration: 199/262 | Loss: 0.7253439426422119
Training Epoch: 0 | iteration: 200/262 | Loss: 0.8740721940994263
Training Epoch: 0 | iteration: 201/262 | Loss: 0.7017174959182739
Training Epoch: 0 | iteration: 202/262 | Loss: 0.880297064781189
Training Epoch: 0 | iteration: 203/262 | Loss: 0.9131584167480469
Training Epoch: 0 | iteration: 204/262 | Loss: 0.8981058597564697
Training Epoch: 0 | iteration: 205/262 | Loss: 0.724770188331604
Training Epoch: 0 | iteration: 206/262 | Loss: 0.7550507187843323
Training Epoch: 0 | iteration: 207/262 | Loss: 0.7726126909255981
Training Epoch: 0 | iteration: 208/262 | Loss: 0.8346896171569824
Training Epoch: 0 | iteration: 209/262 | Loss: 0.8222990036010742
Training Epoch: 0 | iteration: 210/262 | Loss: 0.9315805435180664
Training Epoch: 0 | iteration: 211/262 | Loss: 0.8052141666412354
Training Epoch: 0 | iteration: 212/262 | Loss: 0.8010140657424927
Training Epoch: 0 | iteration: 213/262 | Loss: 0.7659655213356018
Training Epoch: 0 | iteration: 214/262 | Loss: 0.7891809940338135
Training Epoch: 0 | iteration: 215/262 | Loss: 0.72507643699646
Training Epoch: 0 | iteration: 216/262 | Loss: 0.7913830280303955
Training Epoch: 0 | iteration: 217/262 | Loss: 0.8014304041862488
Training Epoch: 0 | iteration: 218/262 | Loss: 0.8236919045448303
Training Epoch: 0 | iteration: 219/262 | Loss: 0.7827638387680054
Training Epoch: 0 | iteration: 220/262 | Loss: 0.8086368441581726
Training Epoch: 0 | iteration: 221/262 | Loss: 0.7472476959228516
Training Epoch: 0 | iteration: 222/262 | Loss: 0.8395688533782959
Training Epoch: 0 | iteration: 223/262 | Loss: 0.8036760091781616
Training Epoch: 0 | iteration: 224/262 | Loss: 0.741254985332489
Training Epoch: 0 | iteration: 225/262 | Loss: 0.7348408102989197
Training Epoch: 0 | iteration: 226/262 | Loss: 0.7375145554542542
Training Epoch: 0 | iteration: 227/262 | Loss: 0.7494246959686279
Training Epoch: 0 | iteration: 228/262 | Loss: 0.832329511642456
Training Epoch: 0 | iteration: 229/262 | Loss: 0.8285380601882935
Training Epoch: 0 | iteration: 230/262 | Loss: 0.8434727191925049
Training Epoch: 0 | iteration: 231/262 | Loss: 0.8741931915283203
Training Epoch: 0 | iteration: 232/262 | Loss: 0.8338455557823181
Training Epoch: 0 | iteration: 233/262 | Loss: 0.7183984518051147
Training Epoch: 0 | iteration: 234/262 | Loss: 0.7831307649612427
Training Epoch: 0 | iteration: 235/262 | Loss: 0.7946378588676453
Training Epoch: 0 | iteration: 236/262 | Loss: 0.7402415871620178
Training Epoch: 0 | iteration: 237/262 | Loss: 0.8457417488098145
Training Epoch: 0 | iteration: 238/262 | Loss: 0.7436232566833496
Training Epoch: 0 | iteration: 239/262 | Loss: 0.8229741454124451
Training Epoch: 0 | iteration: 240/262 | Loss: 0.7570546865463257
Training Epoch: 0 | iteration: 241/262 | Loss: 0.8224632740020752
Training Epoch: 0 | iteration: 242/262 | Loss: 0.7524405717849731
Training Epoch: 0 | iteration: 243/262 | Loss: 0.828836977481842
Training Epoch: 0 | iteration: 244/262 | Loss: 0.7531152963638306
Training Epoch: 0 | iteration: 245/262 | Loss: 0.8807941675186157
Training Epoch: 0 | iteration: 246/262 | Loss: 0.7980971336364746
Training Epoch: 0 | iteration: 247/262 | Loss: 0.7548489570617676
Training Epoch: 0 | iteration: 248/262 | Loss: 0.8449745774269104
Training Epoch: 0 | iteration: 249/262 | Loss: 0.8107953071594238
Training Epoch: 0 | iteration: 250/262 | Loss: 0.8321308493614197
Training Epoch: 0 | iteration: 251/262 | Loss: 0.7639934420585632
Training Epoch: 0 | iteration: 252/262 | Loss: 0.8313542604446411
Training Epoch: 0 | iteration: 253/262 | Loss: 0.794525146484375
Training Epoch: 0 | iteration: 254/262 | Loss: 0.788955807685852
Training Epoch: 0 | iteration: 255/262 | Loss: 0.7711743116378784
Training Epoch: 0 | iteration: 256/262 | Loss: 0.7977855205535889
Training Epoch: 0 | iteration: 257/262 | Loss: 0.8215148448944092
Training Epoch: 0 | iteration: 258/262 | Loss: 0.8099472522735596
Training Epoch: 0 | iteration: 259/262 | Loss: 0.6593037247657776
Training Epoch: 0 | iteration: 260/262 | Loss: 0.7666932940483093
Training Epoch: 0 | iteration: 261/262 | Loss: 0.6734616756439209
Validating Epoch: 0 | iteration: 0/66 | Loss: 0.6197144389152527
Validating Epoch: 0 | iteration: 1/66 | Loss: 0.6101435422897339
Validating Epoch: 0 | iteration: 2/66 | Loss: 0.6032116413116455
Validating Epoch: 0 | iteration: 3/66 | Loss: 0.6779641509056091
Validating Epoch: 0 | iteration: 4/66 | Loss: 0.5900325775146484
Validating Epoch: 0 | iteration: 5/66 | Loss: 0.642877459526062
Validating Epoch: 0 | iteration: 6/66 | Loss: 0.6354385614395142
Validating Epoch: 0 | iteration: 7/66 | Loss: 0.6239610910415649
Validating Epoch: 0 | iteration: 8/66 | Loss: 0.6234893798828125
Validating Epoch: 0 | iteration: 9/66 | Loss: 0.7401752471923828
Validating Epoch: 0 | iteration: 10/66 | Loss: 0.6404948234558105
Validating Epoch: 0 | iteration: 11/66 | Loss: 0.6767240166664124
Validating Epoch: 0 | iteration: 12/66 | Loss: 0.6825650930404663
Validating Epoch: 0 | iteration: 13/66 | Loss: 0.6334648132324219
Validating Epoch: 0 | iteration: 14/66 | Loss: 0.6304693222045898
Validating Epoch: 0 | iteration: 15/66 | Loss: 0.653020977973938
Validating Epoch: 0 | iteration: 16/66 | Loss: 0.6228528022766113
Validating Epoch: 0 | iteration: 17/66 | Loss: 0.6853533983230591
Validating Epoch: 0 | iteration: 18/66 | Loss: 0.6074366569519043
Validating Epoch: 0 | iteration: 19/66 | Loss: 0.6302345991134644
Validating Epoch: 0 | iteration: 20/66 | Loss: 0.6432026624679565
Validating Epoch: 0 | iteration: 21/66 | Loss: 0.6543354392051697
Validating Epoch: 0 | iteration: 22/66 | Loss: 0.6146179437637329
Validating Epoch: 0 | iteration: 23/66 | Loss: 0.6191521286964417
Validating Epoch: 0 | iteration: 24/66 | Loss: 0.5820603370666504
Validating Epoch: 0 | iteration: 25/66 | Loss: 0.7082887887954712
Validating Epoch: 0 | iteration: 26/66 | Loss: 0.5568709969520569
Validating Epoch: 0 | iteration: 27/66 | Loss: 0.6002070903778076
Validating Epoch: 0 | iteration: 28/66 | Loss: 0.6391021013259888
Validating Epoch: 0 | iteration: 29/66 | Loss: 0.6237877011299133
Validating Epoch: 0 | iteration: 30/66 | Loss: 0.6271318197250366
Validating Epoch: 0 | iteration: 31/66 | Loss: 0.6250777840614319
Validating Epoch: 0 | iteration: 32/66 | Loss: 0.6278740167617798
Validating Epoch: 0 | iteration: 33/66 | Loss: 0.7222540378570557
Validating Epoch: 0 | iteration: 34/66 | Loss: 0.6930030584335327
Validating Epoch: 0 | iteration: 35/66 | Loss: 0.6422483921051025
Validating Epoch: 0 | iteration: 36/66 | Loss: 0.6047931909561157
Validating Epoch: 0 | iteration: 37/66 | Loss: 0.6220815777778625
Validating Epoch: 0 | iteration: 38/66 | Loss: 0.6213418245315552
Validating Epoch: 0 | iteration: 39/66 | Loss: 0.654300332069397
Validating Epoch: 0 | iteration: 40/66 | Loss: 0.6593803763389587
Validating Epoch: 0 | iteration: 41/66 | Loss: 0.5938850045204163
Validating Epoch: 0 | iteration: 42/66 | Loss: 0.6637387871742249
Validating Epoch: 0 | iteration: 43/66 | Loss: 0.6326757073402405
Validating Epoch: 0 | iteration: 44/66 | Loss: 0.6614068746566772
Validating Epoch: 0 | iteration: 45/66 | Loss: 0.6046138405799866
Validating Epoch: 0 | iteration: 46/66 | Loss: 0.6394178867340088
Validating Epoch: 0 | iteration: 47/66 | Loss: 0.6174740195274353
Validating Epoch: 0 | iteration: 48/66 | Loss: 0.6820921301841736
Validating Epoch: 0 | iteration: 49/66 | Loss: 0.6514778733253479
Validating Epoch: 0 | iteration: 50/66 | Loss: 0.6305348873138428
Validating Epoch: 0 | iteration: 51/66 | Loss: 0.5669217109680176
Validating Epoch: 0 | iteration: 52/66 | Loss: 0.6368375420570374
Validating Epoch: 0 | iteration: 53/66 | Loss: 0.5997430086135864
Validating Epoch: 0 | iteration: 54/66 | Loss: 0.615998387336731
Validating Epoch: 0 | iteration: 55/66 | Loss: 0.5880160331726074
Validating Epoch: 0 | iteration: 56/66 | Loss: 0.6022642850875854
Validating Epoch: 0 | iteration: 57/66 | Loss: 0.6151235103607178
Validating Epoch: 0 | iteration: 58/66 | Loss: 0.6258370876312256
Validating Epoch: 0 | iteration: 59/66 | Loss: 0.6465106010437012
Validating Epoch: 0 | iteration: 60/66 | Loss: 0.6415109634399414
Validating Epoch: 0 | iteration: 61/66 | Loss: 0.6121836304664612
Validating Epoch: 0 | iteration: 62/66 | Loss: 0.6272331476211548
Validating Epoch: 0 | iteration: 63/66 | Loss: 0.6431155800819397
Validating Epoch: 0 | iteration: 64/66 | Loss: 0.6589928865432739
Validating Epoch: 0 | iteration: 65/66 | Loss: 0.5934637188911438
Temperature:  0.5
Sampling: iteration: 0/51
