Starting ...
cuda
Properties to use:  ['affinity', 'tpsas']
Building Vocab
{'batch_size': 128, 'd_model': 512, 'n_heads': 8, 'n_layers': 6, 'hidden_units': 512, 'lr': 1e-05, 'epochs': 10, 'properties': ['affinity', 'tpsas'], 'run_name': 'LCK_DOCKSTRING_FAST_ACTUAL_affinity_tpsas'}
length of preference data : 41795
Sample preference_data[0]: ['O1C(C(=O)N2CCN(CC2)C3=CC=C(N(=O)=O)C=C3)=C(C=4C1=CC=CC4)C', array([0.47959185, 0.53255087, 0.54797947, 0.15855041, 0.16055913]), [np.str_('O1C(=NC2=C(C1=O)C=CC=C2)C3=C(C(=O)NCCC4=CC=CC=C4)C=CC(OC)=C3'), np.float64(0.9873459430403937), array([0.52040816, 0.54211667, 0.55725834, 0.15815913, 0.16377715])], [np.str_('O1C(=NC2=C(C1=O)C=CC=C2)C3=CC(OC(=O)C=4C=CC=CC4)=C(OC)C=C3'), np.float64(0.9574398041990725), array([0.43877551, 0.55263869, 0.41284505, 0.14420153, 0.15814562])]]
LCK_DOCKSTRING_FAST_ACTUAL_affinity_tpsas
len(target_smiles): 41800
len(data): 41800
LCK_DOCKSTRING_FAST_ACTUAL_affinity_tpsas
dataset built
cuda
True
2.7.1+cu118
No of GPUs available 4
No of GPUs available 4
{'batch_size': 128, 'd_model': 512, 'n_heads': 8, 'n_layers': 6, 'hidden_units': 512, 'lr': 1e-05, 'epochs': 10, 'properties': ['affinity', 'tpsas'], 'ipo': False, 'run_name': 'DPO_Finetuning_BETA_0.11_epochs_10_LCK_DOCKSTRING_FAST_ACTUAL_affinity_tpsas', 'beta': 0.11}
Temperature:  0.5
Sampling: iteration: 0/51
{'Validity': 0.9951171875, 'Novelty': 1.0, 'Uniqueness': 0.9950932286555446}
Training Epoch: 0 | iteration: 0/262 | Loss: 1.0754859447479248
Training Epoch: 0 | iteration: 1/262 | Loss: 0.9898402690887451
Training Epoch: 0 | iteration: 2/262 | Loss: 0.8995699882507324
Training Epoch: 0 | iteration: 3/262 | Loss: 1.1379860639572144
Training Epoch: 0 | iteration: 4/262 | Loss: 1.1244465112686157
Training Epoch: 0 | iteration: 5/262 | Loss: 0.9397009611129761
Training Epoch: 0 | iteration: 6/262 | Loss: 0.9584678411483765
Training Epoch: 0 | iteration: 7/262 | Loss: 1.0072988271713257
Training Epoch: 0 | iteration: 8/262 | Loss: 0.9722787141799927
Training Epoch: 0 | iteration: 9/262 | Loss: 0.9369579553604126
Training Epoch: 0 | iteration: 10/262 | Loss: 0.9945954084396362
Training Epoch: 0 | iteration: 11/262 | Loss: 1.0441129207611084
Training Epoch: 0 | iteration: 12/262 | Loss: 0.9894334077835083
Training Epoch: 0 | iteration: 13/262 | Loss: 0.9023327827453613
Training Epoch: 0 | iteration: 14/262 | Loss: 0.914806604385376
Training Epoch: 0 | iteration: 15/262 | Loss: 0.9602636098861694
Training Epoch: 0 | iteration: 16/262 | Loss: 0.9342223405838013
Training Epoch: 0 | iteration: 17/262 | Loss: 0.9459731578826904
Training Epoch: 0 | iteration: 18/262 | Loss: 0.9465194940567017
Training Epoch: 0 | iteration: 19/262 | Loss: 0.9049240350723267
Training Epoch: 0 | iteration: 20/262 | Loss: 0.9490554332733154
Training Epoch: 0 | iteration: 90/262 | Loss: 0.8752104640007019
Training Epoch: 0 | iteration: 91/262 | Loss: 0.9840850234031677
Training Epoch: 0 | iteration: 92/262 | Loss: 0.9049091339111328
Training Epoch: 0 | iteration: 93/262 | Loss: 0.8747645616531372
Training Epoch: 0 | iteration: 94/262 | Loss: 0.7902302742004395
Training Epoch: 0 | iteration: 95/262 | Loss: 0.959480881690979
Training Epoch: 0 | iteration: 96/262 | Loss: 0.815232515335083
Training Epoch: 0 | iteration: 97/262 | Loss: 0.8717771768569946
Training Epoch: 0 | iteration: 98/262 | Loss: 0.7747150659561157
Training Epoch: 0 | iteration: 99/262 | Loss: 0.7999813556671143
Training Epoch: 0 | iteration: 100/262 | Loss: 0.9356442093849182
Training Epoch: 0 | iteration: 101/262 | Loss: 0.8338496685028076
Training Epoch: 0 | iteration: 102/262 | Loss: 0.8388956785202026
Training Epoch: 0 | iteration: 103/262 | Loss: 0.8063002824783325
Training Epoch: 0 | iteration: 104/262 | Loss: 0.7566527724266052
Training Epoch: 0 | iteration: 105/262 | Loss: 0.7778912782669067
Training Epoch: 0 | iteration: 106/262 | Loss: 0.8810017704963684
Training Epoch: 0 | iteration: 107/262 | Loss: 0.8276209831237793
Training Epoch: 0 | iteration: 108/262 | Loss: 0.8642497062683105
Training Epoch: 0 | iteration: 109/262 | Loss: 0.7834475040435791
Training Epoch: 0 | iteration: 110/262 | Loss: 0.8759342432022095
Training Epoch: 0 | iteration: 111/262 | Loss: 0.8347848653793335
Training Epoch: 0 | iteration: 112/262 | Loss: 0.8050062656402588
Training Epoch: 0 | iteration: 113/262 | Loss: 0.9976526498794556
Training Epoch: 0 | iteration: 114/262 | Loss: 0.8301920890808105
Training Epoch: 0 | iteration: 115/262 | Loss: 0.8207719326019287
Training Epoch: 0 | iteration: 116/262 | Loss: 0.7735263109207153
Training Epoch: 0 | iteration: 117/262 | Loss: 0.9038583040237427
Training Epoch: 0 | iteration: 118/262 | Loss: 0.955146074295044
Training Epoch: 0 | iteration: 119/262 | Loss: 0.9004002213478088
Training Epoch: 0 | iteration: 120/262 | Loss: 0.8117040395736694
Training Epoch: 0 | iteration: 121/262 | Loss: 0.8100544214248657
Training Epoch: 0 | iteration: 122/262 | Loss: 0.8279905319213867
Training Epoch: 0 | iteration: 123/262 | Loss: 0.7964013814926147
Training Epoch: 0 | iteration: 124/262 | Loss: 0.7953590750694275
Training Epoch: 0 | iteration: 125/262 | Loss: 0.8191308975219727
Training Epoch: 0 | iteration: 126/262 | Loss: 0.8097625970840454
Training Epoch: 0 | iteration: 127/262 | Loss: 0.8984864950180054
Training Epoch: 0 | iteration: 128/262 | Loss: 0.8250130414962769
Training Epoch: 0 | iteration: 129/262 | Loss: 0.8835391998291016
Training Epoch: 0 | iteration: 130/262 | Loss: 0.9426978230476379
Training Epoch: 0 | iteration: 131/262 | Loss: 0.7582509517669678
Training Epoch: 0 | iteration: 132/262 | Loss: 0.8690320253372192
Training Epoch: 0 | iteration: 133/262 | Loss: 0.816304087638855
Training Epoch: 0 | iteration: 134/262 | Loss: 0.8716157674789429
Training Epoch: 0 | iteration: 135/262 | Loss: 0.8225098848342896
Training Epoch: 0 | iteration: 136/262 | Loss: 0.9724935293197632
Training Epoch: 0 | iteration: 137/262 | Loss: 0.7883891463279724
Training Epoch: 0 | iteration: 138/262 | Loss: 0.7560347318649292
Training Epoch: 0 | iteration: 139/262 | Loss: 0.8185939788818359
Training Epoch: 0 | iteration: 140/262 | Loss: 0.7788742184638977
Training Epoch: 0 | iteration: 141/262 | Loss: 0.8763630390167236
Training Epoch: 0 | iteration: 142/262 | Loss: 0.8008939623832703
Training Epoch: 0 | iteration: 143/262 | Loss: 0.9906245470046997
Training Epoch: 0 | iteration: 144/262 | Loss: 0.7973651885986328
Training Epoch: 0 | iteration: 145/262 | Loss: 0.9072986841201782
Training Epoch: 0 | iteration: 146/262 | Loss: 0.7914261817932129
Training Epoch: 0 | iteration: 147/262 | Loss: 0.84195876121521
Training Epoch: 0 | iteration: 148/262 | Loss: 1.0003201961517334
Training Epoch: 0 | iteration: 149/262 | Loss: 0.7884116172790527
Training Epoch: 0 | iteration: 150/262 | Loss: 0.78985595703125
Training Epoch: 0 | iteration: 151/262 | Loss: 0.8645304441452026
Training Epoch: 0 | iteration: 152/262 | Loss: 0.812229335308075
Training Epoch: 0 | iteration: 153/262 | Loss: 0.8609479665756226
Training Epoch: 0 | iteration: 154/262 | Loss: 0.8443981409072876
Training Epoch: 0 | iteration: 155/262 | Loss: 0.8708515763282776
Training Epoch: 0 | iteration: 156/262 | Loss: 0.8554785251617432
Training Epoch: 0 | iteration: 157/262 | Loss: 0.7811651825904846
Training Epoch: 0 | iteration: 158/262 | Loss: 0.8324438333511353
Training Epoch: 0 | iteration: 159/262 | Loss: 0.861007034778595
Training Epoch: 0 | iteration: 160/262 | Loss: 0.8373028039932251
Training Epoch: 0 | iteration: 161/262 | Loss: 0.7645570039749146
Training Epoch: 0 | iteration: 162/262 | Loss: 0.8313159942626953
Training Epoch: 0 | iteration: 163/262 | Loss: 0.759687066078186
Training Epoch: 0 | iteration: 164/262 | Loss: 0.9239932894706726
Training Epoch: 0 | iteration: 165/262 | Loss: 0.9180267453193665
Training Epoch: 0 | iteration: 166/262 | Loss: 0.7876172065734863
Training Epoch: 0 | iteration: 167/262 | Loss: 0.7866445779800415
Training Epoch: 0 | iteration: 168/262 | Loss: 0.8627767562866211
Training Epoch: 0 | iteration: 169/262 | Loss: 0.8391590714454651
Training Epoch: 0 | iteration: 170/262 | Loss: 0.8878188729286194
Training Epoch: 0 | iteration: 171/262 | Loss: 0.8148612976074219
Training Epoch: 0 | iteration: 172/262 | Loss: 0.8474017381668091
Training Epoch: 0 | iteration: 173/262 | Loss: 0.9329137802124023
Training Epoch: 0 | iteration: 174/262 | Loss: 0.8723311424255371
Training Epoch: 0 | iteration: 175/262 | Loss: 0.753798246383667
Training Epoch: 0 | iteration: 176/262 | Loss: 0.92118239402771
Training Epoch: 0 | iteration: 177/262 | Loss: 0.8170291185379028
Training Epoch: 0 | iteration: 178/262 | Loss: 0.8183716535568237
Training Epoch: 0 | iteration: 179/262 | Loss: 0.8352804780006409
Training Epoch: 0 | iteration: 180/262 | Loss: 0.874841570854187
Training Epoch: 0 | iteration: 181/262 | Loss: 0.8626121282577515
Training Epoch: 0 | iteration: 182/262 | Loss: 0.8598188161849976
Training Epoch: 0 | iteration: 183/262 | Loss: 0.8714718818664551
Training Epoch: 0 | iteration: 184/262 | Loss: 0.8840435743331909
Training Epoch: 0 | iteration: 185/262 | Loss: 0.7683855891227722
Training Epoch: 0 | iteration: 186/262 | Loss: 0.7597243785858154
Training Epoch: 0 | iteration: 187/262 | Loss: 0.8427529335021973
Training Epoch: 0 | iteration: 188/262 | Loss: 0.842380166053772
Training Epoch: 0 | iteration: 189/262 | Loss: 1.0061030387878418
Training Epoch: 0 | iteration: 190/262 | Loss: 0.704833984375
Training Epoch: 0 | iteration: 191/262 | Loss: 0.7251231074333191
Training Epoch: 0 | iteration: 192/262 | Loss: 0.8146752119064331
Training Epoch: 0 | iteration: 193/262 | Loss: 0.7675138711929321
Training Epoch: 0 | iteration: 194/262 | Loss: 0.7887853384017944
Training Epoch: 0 | iteration: 195/262 | Loss: 0.9541987776756287
Training Epoch: 0 | iteration: 196/262 | Loss: 0.8462008833885193
Training Epoch: 0 | iteration: 197/262 | Loss: 0.7737036347389221
Training Epoch: 0 | iteration: 198/262 | Loss: 0.8589744567871094
Training Epoch: 0 | iteration: 199/262 | Loss: 0.7734903693199158
Training Epoch: 0 | iteration: 200/262 | Loss: 0.843503475189209
Training Epoch: 0 | iteration: 201/262 | Loss: 0.9376271367073059
Training Epoch: 0 | iteration: 202/262 | Loss: 0.9048076868057251
Training Epoch: 0 | iteration: 203/262 | Loss: 0.789505124092102
Training Epoch: 0 | iteration: 204/262 | Loss: 0.8564972877502441
Training Epoch: 0 | iteration: 205/262 | Loss: 0.8216104507446289
Training Epoch: 0 | iteration: 206/262 | Loss: 0.7942781448364258
Training Epoch: 0 | iteration: 207/262 | Loss: 0.7348742485046387
Training Epoch: 0 | iteration: 208/262 | Loss: 0.8667842149734497
Training Epoch: 0 | iteration: 209/262 | Loss: 0.7825469374656677
Training Epoch: 0 | iteration: 210/262 | Loss: 0.8045358657836914
Training Epoch: 0 | iteration: 211/262 | Loss: 0.7712215185165405
Training Epoch: 0 | iteration: 212/262 | Loss: 0.9589093923568726
Training Epoch: 0 | iteration: 213/262 | Loss: 0.8879067897796631
Training Epoch: 0 | iteration: 214/262 | Loss: 0.8952014446258545
Training Epoch: 0 | iteration: 215/262 | Loss: 0.8442499041557312
Training Epoch: 0 | iteration: 216/262 | Loss: 0.8508924245834351
Training Epoch: 0 | iteration: 217/262 | Loss: 0.7767421007156372
Training Epoch: 0 | iteration: 218/262 | Loss: 0.7066537141799927
Training Epoch: 0 | iteration: 219/262 | Loss: 0.8503683805465698
Training Epoch: 0 | iteration: 220/262 | Loss: 0.8061836957931519
Training Epoch: 0 | iteration: 221/262 | Loss: 0.8493136167526245
Training Epoch: 0 | iteration: 222/262 | Loss: 0.8551248908042908
Training Epoch: 0 | iteration: 223/262 | Loss: 0.815651535987854
Training Epoch: 0 | iteration: 224/262 | Loss: 0.7216075658798218
Training Epoch: 0 | iteration: 225/262 | Loss: 0.7902896404266357
Training Epoch: 0 | iteration: 226/262 | Loss: 0.7747219800949097
Training Epoch: 0 | iteration: 227/262 | Loss: 0.8455326557159424
Training Epoch: 0 | iteration: 228/262 | Loss: 0.8733552694320679
Training Epoch: 0 | iteration: 229/262 | Loss: 0.9606804847717285
Training Epoch: 0 | iteration: 230/262 | Loss: 0.793143630027771
Training Epoch: 0 | iteration: 231/262 | Loss: 0.7079647779464722
Training Epoch: 0 | iteration: 232/262 | Loss: 0.8402639627456665
Training Epoch: 0 | iteration: 233/262 | Loss: 0.8335232734680176
Training Epoch: 0 | iteration: 234/262 | Loss: 0.7328441143035889
Training Epoch: 0 | iteration: 235/262 | Loss: 0.7571439743041992
Training Epoch: 0 | iteration: 236/262 | Loss: 0.7955718040466309
Training Epoch: 0 | iteration: 237/262 | Loss: 0.870205283164978
Training Epoch: 0 | iteration: 238/262 | Loss: 0.8018592596054077
Training Epoch: 0 | iteration: 239/262 | Loss: 0.8642638325691223
Training Epoch: 0 | iteration: 240/262 | Loss: 0.7647056579589844
Training Epoch: 0 | iteration: 241/262 | Loss: 0.8151759505271912
Training Epoch: 0 | iteration: 242/262 | Loss: 0.7870116829872131
Training Epoch: 0 | iteration: 243/262 | Loss: 0.7424155473709106
Training Epoch: 0 | iteration: 244/262 | Loss: 0.814026951789856
Training Epoch: 0 | iteration: 245/262 | Loss: 0.7678033113479614
Training Epoch: 0 | iteration: 246/262 | Loss: 0.8310317993164062
Training Epoch: 0 | iteration: 247/262 | Loss: 0.7173333168029785
Training Epoch: 0 | iteration: 248/262 | Loss: 0.758607029914856
Training Epoch: 0 | iteration: 249/262 | Loss: 0.9447661638259888
Training Epoch: 0 | iteration: 250/262 | Loss: 0.8072454929351807
Training Epoch: 0 | iteration: 251/262 | Loss: 0.8783565759658813
Training Epoch: 0 | iteration: 252/262 | Loss: 0.7944538593292236
Training Epoch: 0 | iteration: 253/262 | Loss: 0.849618673324585
Training Epoch: 0 | iteration: 254/262 | Loss: 0.8157651424407959
Training Epoch: 0 | iteration: 255/262 | Loss: 0.7786740064620972
Training Epoch: 0 | iteration: 256/262 | Loss: 0.8817750215530396
Training Epoch: 0 | iteration: 257/262 | Loss: 0.7897887825965881
Training Epoch: 0 | iteration: 258/262 | Loss: 0.7141690254211426
Training Epoch: 0 | iteration: 259/262 | Loss: 0.8075529336929321
Training Epoch: 0 | iteration: 260/262 | Loss: 0.7940701246261597
Training Epoch: 0 | iteration: 261/262 | Loss: 0.7114683985710144
Validating Epoch: 0 | iteration: 0/66 | Loss: 0.7102974653244019
Validating Epoch: 0 | iteration: 1/66 | Loss: 0.5843051075935364
Validating Epoch: 0 | iteration: 2/66 | Loss: 0.6332001686096191
Validating Epoch: 0 | iteration: 3/66 | Loss: 0.6747892498970032
Validating Epoch: 0 | iteration: 4/66 | Loss: 0.6813389658927917
Validating Epoch: 0 | iteration: 5/66 | Loss: 0.6372199654579163
Validating Epoch: 0 | iteration: 6/66 | Loss: 0.6284980177879333
Validating Epoch: 0 | iteration: 7/66 | Loss: 0.7153561115264893
Validating Epoch: 0 | iteration: 8/66 | Loss: 0.7170149087905884
Validating Epoch: 0 | iteration: 9/66 | Loss: 0.6791493892669678
Validating Epoch: 0 | iteration: 10/66 | Loss: 0.6610471606254578
Validating Epoch: 0 | iteration: 11/66 | Loss: 0.6215959191322327
Validating Epoch: 0 | iteration: 12/66 | Loss: 0.6693627834320068
Validating Epoch: 0 | iteration: 13/66 | Loss: 0.6494343876838684
Validating Epoch: 0 | iteration: 14/66 | Loss: 0.6520221829414368
Validating Epoch: 0 | iteration: 15/66 | Loss: 0.6839940547943115
Validating Epoch: 0 | iteration: 16/66 | Loss: 0.6444007158279419
Validating Epoch: 0 | iteration: 17/66 | Loss: 0.5629004240036011
Validating Epoch: 0 | iteration: 18/66 | Loss: 0.6544644236564636
Validating Epoch: 0 | iteration: 19/66 | Loss: 0.6590491533279419
Validating Epoch: 0 | iteration: 20/66 | Loss: 0.6410937309265137
Validating Epoch: 0 | iteration: 21/66 | Loss: 0.7009097337722778
Validating Epoch: 0 | iteration: 22/66 | Loss: 0.7214546203613281
Validating Epoch: 0 | iteration: 23/66 | Loss: 0.7105821371078491
Validating Epoch: 0 | iteration: 24/66 | Loss: 0.7139051556587219
Validating Epoch: 0 | iteration: 25/66 | Loss: 0.666443407535553
Validating Epoch: 0 | iteration: 26/66 | Loss: 0.6776851415634155
Validating Epoch: 0 | iteration: 27/66 | Loss: 0.6606487035751343
Validating Epoch: 0 | iteration: 28/66 | Loss: 0.6150020360946655
Validating Epoch: 0 | iteration: 29/66 | Loss: 0.6969455480575562
Validating Epoch: 0 | iteration: 30/66 | Loss: 0.710724949836731
Validating Epoch: 0 | iteration: 31/66 | Loss: 0.6797126531600952
Validating Epoch: 0 | iteration: 32/66 | Loss: 0.7784408330917358
Validating Epoch: 0 | iteration: 33/66 | Loss: 0.717904269695282
Validating Epoch: 0 | iteration: 34/66 | Loss: 0.7368839979171753
Validating Epoch: 0 | iteration: 35/66 | Loss: 0.7101236581802368
Validating Epoch: 0 | iteration: 36/66 | Loss: 0.7361773252487183
Validating Epoch: 0 | iteration: 37/66 | Loss: 0.6640294790267944
Validating Epoch: 0 | iteration: 38/66 | Loss: 0.7406666278839111
Validating Epoch: 0 | iteration: 39/66 | Loss: 0.5783134698867798
Validating Epoch: 0 | iteration: 40/66 | Loss: 0.6397535800933838
Validating Epoch: 0 | iteration: 41/66 | Loss: 0.6010894775390625
Validating Epoch: 0 | iteration: 42/66 | Loss: 0.6534755229949951
Validating Epoch: 0 | iteration: 43/66 | Loss: 0.6161138415336609
Validating Epoch: 0 | iteration: 44/66 | Loss: 0.6455540657043457
Validating Epoch: 0 | iteration: 45/66 | Loss: 0.6770602464675903
Validating Epoch: 0 | iteration: 46/66 | Loss: 0.6729077100753784
Validating Epoch: 0 | iteration: 47/66 | Loss: 0.6376906037330627
Validating Epoch: 0 | iteration: 48/66 | Loss: 0.6668909192085266
Validating Epoch: 0 | iteration: 49/66 | Loss: 0.6309373378753662
Validating Epoch: 0 | iteration: 50/66 | Loss: 0.6658687591552734
Validating Epoch: 0 | iteration: 51/66 | Loss: 0.6994584202766418
Validating Epoch: 0 | iteration: 52/66 | Loss: 0.671047568321228
Validating Epoch: 0 | iteration: 53/66 | Loss: 0.6353834867477417
Validating Epoch: 0 | iteration: 54/66 | Loss: 0.7057036757469177
Validating Epoch: 0 | iteration: 55/66 | Loss: 0.6681985855102539
Validating Epoch: 0 | iteration: 56/66 | Loss: 0.648887038230896
Validating Epoch: 0 | iteration: 57/66 | Loss: 0.6620059013366699
Validating Epoch: 0 | iteration: 58/66 | Loss: 0.7076495289802551
Validating Epoch: 0 | iteration: 59/66 | Loss: 0.5989614725112915
Validating Epoch: 0 | iteration: 60/66 | Loss: 0.6588081121444702
Validating Epoch: 0 | iteration: 61/66 | Loss: 0.6941362619400024
Validating Epoch: 0 | iteration: 62/66 | Loss: 0.7221993207931519
Validating Epoch: 0 | iteration: 63/66 | Loss: 0.7163108587265015
Validating Epoch: 0 | iteration: 64/66 | Loss: 0.6378649473190308
Validating Epoch: 0 | iteration: 65/66 | Loss: 0.6915028691291809
Temperature:  0.5
Sampling: iteration: 0/51
